brand,model,price,avg_rating,battery,reviews,color,RAM,ROM,display_inches,user,price_bin
Ai+,Ai,6249.0,4.1,5000.0,37312,4,5.0,96.0,6.745,373120,0-10k
Ai+,Ai+ nova 5g,9099.0,3.88,5000.0,11879,4,6.0,128.0,6.745,118790,0-10k
Apple,Apple iphone 13,44999.0,4.6,4000.0,293391,1,6.0,128.0,6.1,2933910,40k-60k
Apple,Apple iphone 14,56990.0,4.6,4000.0,1569535,3,6.0,128.0,6.1,15695350,40k-60k
Apple,Apple iphone 14 plus,69900.0,4.6,4000.0,86207,1,6.0,128.0,6.7,862070,60k-100k
Apple,Apple iphone 15,66900.0,4.6,4000.0,1318995,4,6.0,128.0,6.1,13189950,60k-100k
Apple,Apple iphone 15 plus,74999.0,4.6,4000.0,92154,1,6.0,192.0,6.7,921540,60k-100k
Apple,Apple iphone 16,84900.0,4.6,4000.0,76424,4,8.0,256.0,6.1,764240,60k-100k
Apple,Apple iphone 16 plus,94900.0,4.6,4000.0,37169,5,8.0,256.0,6.7,371690,60k-100k
Apple,Apple iphone 16 pro,115900.0,4.6,4000.0,8379,3,8.0,128.0,6.3,83790,100k+
Apple,Apple iphone 16 pro max,147900.0,4.6,4000.0,7554,4,8.0,384.0,6.900000000000001,75540,100k+
Apple,Apple iphone 16e,59900.0,4.6,4000.0,5948,2,8.0,192.0,6.1,59480,40k-60k
Cmf,Cmf by nothing phone 1,16999.0,4.4,5000.0,436060,4,7.0,128.0,6.67,4360600,10k-20k
Cmf,Cmf by nothing phone 2 pro,19999.0,4.4,5000.0,151728,4,8.0,192.0,6.77,1517280,10k-20k
Gionee,Gionee max,5649.0,4.0,5000.0,108952,1,2.0,32.0,6.1,1089520,0-10k
Google,Google pixel 7,29999.0,4.3,4270.0,19456,1,8.0,128.0,6.3,194560,20k-30k
Google,Google pixel 8 pro,59999.0,4.4,5050.0,1263,1,12.0,128.0,6.7,12630,40k-60k
Google,Google pixel 8a,39749.0,4.3,4404.0,29988,3,8.0,128.0,6.1,299880,30k-40k
Google,Google pixel 9,64999.0,4.5,4700.0,13620,4,12.0,256.0,6.3,136200,60k-100k
Google,Google pixel 9 pro fold,129999.0,4.6,4650.0,163,1,16.0,256.0,6.3,1630,100k+
Google,Google pixel 9 pro xl,109999.0,4.6,5060.0,2631,2,16.0,256.0,6.8,26310,100k+
Google,Google pixel 9a,49999.0,4.4,5100.0,5931,3,8.0,256.0,6.285,59310,40k-60k
Hmd,Hmd crest max 5g,12499.0,3.9,5000.0,145,1,8.0,256.0,6.9,1450,10k-20k
Honor,Honor 200 5g,26326.0,4.366666666666666,5200.0,403,2,8.0,256.0,6.7,4030,20k-30k
Infinix,Infinix gt 30 5g,19499.0,4.5,5500.0,21,1,8.0,128.0,6.78,210,10k-20k
Infinix,Infinix gt 30 pro 5g,25999.0,4.4,5500.0,3814,2,10.0,256.0,6.78,38140,20k-30k
Infinix,Infinix hot 10,12799.0,4.36,5200.0,439496,3,4.0,64.0,6.779999999999999,4394960,10k-20k
Infinix,Infinix hot 10s,10999.0,4.3,6000.0,43529,1,6.0,64.0,6.82,435290,10k-20k
Infinix,Infinix hot 12 pro,12999.0,4.0,5000.0,5936,1,8.0,128.0,6.6,59360,10k-20k
Infinix,Infinix hot 50 5g,10299.0,4.36,5000.0,67567,3,8.0,128.0,6.7,675670,10k-20k
Infinix,Infinix hot 60 5g,10499.0,4.3,5200.0,2352,3,6.0,128.0,6.7,23520,10k-20k
Infinix,Infinix note 11,10749.0,4.25,5000.0,51573,1,5.0,96.0,6.7,515730,10k-20k
Infinix,Infinix note 40 5g,15999.0,4.2,5000.0,25232,2,8.0,256.0,6.78,252320,10k-20k
Infinix,Infinix note 40 pro 5g,18999.0,4.2,5000.0,81112,2,8.0,256.0,6.78,811120,10k-20k
Infinix,Infinix note 50s 5g,16499.0,4.4,5500.0,107948,3,8.0,128.0,6.78,1079480,10k-20k
Infinix,Infinix note 50x 5g,12249.0,4.3,5500.0,42516,3,7.0,128.0,6.669999999999999,425160,10k-20k
Infinix,Infinix s4,10999.0,4.3,4000.0,23583,1,4.0,64.0,6.21,235830,10k-20k
Infinix,Infinix smart 10,6799.0,4.2,5000.0,321,3,4.0,64.0,6.669999999999999,3210,0-10k
Infinix,Infinix smart 2,7999.0,4.1,3050.0,37001,1,3.0,32.0,5.45,370010,0-10k
Infinix,Infinix smart 6,7499.0,4.3,5000.0,138040,4,2.0,64.0,6.6,1380400,0-10k
Infinix,Infinix smart 7,6199.0,4.2,5000.0,147576,4,2.0,64.0,6.6,1475760,0-10k
Infinix,Infinix smart 9,6699.0,4.2,5000.0,14208,4,3.0,64.0,6.7,142080,0-10k
Iqoo,Iqoo neo 10,36275.875,4.525,7000.0,1514,2,10.0,256.0,6.78,15140,30k-40k
Iqoo,Iqoo neo 10r 5g,26275.5,4.433333333333334,6400.0,8284,2,8.0,256.0,6.78,82840,20k-30k
Iqoo,Iqoo z10 5g,23396.4,4.4,7300.0,10896,2,8.0,256.0,6.728,108960,20k-30k
Iqoo,Iqoo z10 lite 5g,11666.333333333334,4.166666666666667,6000.0,1924,2,6.0,128.0,6.739999999999999,19240,10k-20k
Iqoo,Iqoo z10r 5g,22501.666666666668,4.366666666666666,5700.0,1160,2,8.0,256.0,6.77,11600,20k-30k
Iqoo,Iqoo z10x 5g,15168.166666666666,4.333333333333333,6500.0,11872,2,8.0,128.0,6.7,118720,10k-20k
Iqoo,Iqoo z6 lite 5g,13990.0,4.2,5000.0,2267,1,6.0,128.0,6.68,22670,10k-20k
Iqoo,Iqoo z9s 5g,22439.5,4.4,5500.0,18004,2,8.0,128.0,6.77,180040,20k-30k
Iqoo,Iqoo z9s pro 5g,24699.0,4.5,5500.0,2688,1,8.0,256.0,6.77,26880,20k-30k
Iqoo,Iqoo z9x,14816.75,4.300000000000001,6000.0,25750,2,5.0,128.0,6.72,257500,10k-20k
Itel,Itel a05s |,6690.0,4.3,4000.0,106,1,4.0,64.0,6.56,1060,0-10k
Itel,Itel a25 pro,5999.0,4.0,3020.0,1875,1,2.0,32.0,5.0,18750,0-10k
Itel,Itel a50,6695.0,4.2,5000.0,514,1,4.0,64.0,6.67,5140,0-10k
Itel,Itel a50c,5920.0,4.0,4000.0,355,1,2.0,32.0,6.67,3550,0-10k
Itel,Itel a80,7494.0,4.2,5000.0,742,2,4.0,128.0,6.7,7420,0-10k
Itel,Itel p 55 5g,9108.0,4.1,5000.0,741,1,6.0,128.0,6.6,7410,0-10k
Itel,Itel p55,8499.0,4.2,5000.0,1058,1,8.0,128.0,6.56,10580,0-10k
Itel,Itel p55 5g,9299.0,3.9,5000.0,155,1,6.0,128.0,6.6,1550,0-10k
Itel,Itel zeno 10,6222.0,4.4,5000.0,56,2,4.0,64.0,6.6,560,0-10k
Lava,Lava amoled,14199.0,3.8,5000.0,9,1,6.0,128.0,6.67,90,10k-20k
Lava,Lava blaze 2,8710.0,4.1,5000.0,355,1,6.0,128.0,6.5,3550,0-10k
Lava,Lava blaze 2 5g,10998.0,4.2,5000.0,1210,1,6.0,128.0,6.56,12100,10k-20k
Lava,Lava bold n1 pro,7970.0,3.6,5000.0,10,1,4.0,128.0,6.6,100,0-10k
Lava,Lava shark,7248.0,4.1,5000.0,43,1,4.0,64.0,6.67,430,0-10k
Lava,Lava yuva 2 5g,8696.5,4.2,5000.0,112,2,4.0,128.0,6.67,1120,0-10k
Lava,Lava yuva smart,6349.0,4.0,5000.0,358,2,3.0,64.0,6.75,3580,0-10k
Lava,Lava yuva star,6499.0,4.0,5000.0,949,1,4.0,64.0,6.75,9490,0-10k
Lava,Lava yuva star 2,6799.0,2.0,5000.0,4,1,4.0,128.0,6.75,40,0-10k
Lava,Lava z1s,5299.0,3.2,3100.0,517,1,2.0,16.0,5.0,5170,0-10k
Lava,Lava z60,6499.0,3.9,2500.0,2410,1,1.0,16.0,5.0,24100,0-10k
Lenovo,Lenovo phab 2,12000.0,4.0,4050.0,84108,2,3.0,32.0,6.4,841080,10k-20k
Lg,Lg q6,19990.0,3.9,3000.0,1129,1,4.0,64.0,5.5,11290,10k-20k
Motorola,Motorola e32,6989.0,3.9,5000.0,25759,1,4.0,64.0,6.5,257590,0-10k
Motorola,Motorola e32s,5999.0,3.5,5000.0,1358,2,3.0,32.0,6.5,13580,0-10k
Motorola,Motorola e40,6494.5,4.2,5000.0,181632,2,4.0,64.0,6.5,1816320,0-10k
Motorola,Motorola edge 40 neo,22999.0,4.3,5000.0,60156,1,8.0,128.0,6.55,601560,20k-30k
Motorola,Motorola edge 50,20999.0,4.3,5000.0,77238,2,8.0,256.0,6.67,772380,20k-30k
Motorola,Motorola edge 50 fusion,19999.0,4.4,5000.0,1170656,4,10.0,192.0,6.7,11706560,10k-20k
Motorola,Motorola edge 50 neo,19999.0,4.4,4310.0,59068,2,8.0,256.0,6.4,590680,10k-20k
Motorola,Motorola edge 50 pro 5g,27999.0,4.4,4500.0,166207,2,12.0,256.0,6.7,1662070,20k-30k
Motorola,Motorola edge 50 ultra 5g,44999.0,4.3,4500.0,5976,2,12.0,512.0,6.7,59760,40k-60k
Motorola,Motorola edge 60 5g,25999.0,4.3,5500.0,6072,2,12.0,256.0,6.67,60720,20k-30k
Motorola,Motorola edge 60 fusion 5g,23999.0,4.5,5500.0,289292,4,10.0,256.0,6.67,2892920,20k-30k
